notriad;no_order;emotion;FINAL
1;1;1;2.1113
1;1;1;7.2224
1;1;1;5.1615
1;1;1;3.0015
1;1;1;1.8902
1;1;1;6.1798
1;1;1;7.2466
1;1;1;9.3090
1;1;1;14.4334
1;1;1;9.2316
1;1;1;2.0523
1;1;1;1.0087
1;1;1;5.7348
1;1;1;1.4950
1;1;1;9.2131
1;1;1;3.0971
1;1;1;2.3533
1;1;1;6.7700
1;1;1;0.6371
1;1;1;8.6519
1;1;1;1.8434
1;1;1;10.2543
1;1;1;8.3354
1;1;1;5.8805
1;1;1;7.6105
1;1;1;15.9622
1;1;1;8.3695
1;1;1;8.1473
1;1;1;2.9337
1;1;1;0.8654
1;1;1;4.3789
1;1;1;2.2009
1;1;1;10.1744
1;1;1;1.4435
1;1;1;2.6849
1;1;1;7.7478
1;1;1;4.8885
1;1;1;4.4105
1;1;1;8.7119
1;1;1;2.6039
1;1;1;6.8072
1;1;1;3.8522
1;1;1;2.1682
1;1;1;9.2992
1;1;1;4.7301
1;1;1;3.6345
1;1;1;2.0296
1;1;1;5.4137
1;1;1;0.8775
1;1;1;9.8028
1;1;1;1.9980
1;1;1;1.4253
1;1;1;7.0450
1;1;1;2.0833
1;1;1;3.3181
1;1;1;10.2613
1;1;1;8.1929
1;1;1;3.1255
1;1;1;8.4608
1;1;1;17.5020
1;1;1;8.3748
1;1;1;9.0832
1;1;1;3.7812
1;1;1;7.3355
1;1;1;10.9755
1;1;1;7.7675
1;1;1;9.5186
1;1;1;10.0338
1;1;1;14.6178
1;1;1;8.5806
1;1;1;4.6326
1;1;1;9.0667
1;1;1;7.9724
1;1;1;15.2831
1;1;1;10.4272
1;1;1;6.0559
1;1;1;9.3004
1;1;1;17.0314
1;1;1;7.0782
1;1;1;5.0031
1;1;1;1.2764
1;1;1;5.3390
1;1;1;14.3122
1;1;1;5.1892
1;1;1;5.9572
1;1;1;5.3567
1;1;1;4.1540
1;1;1;7.8526
1;1;1;4.5806
1;1;1;3.2228
1;1;1;13.8740
1;1;1;7.5172
1;1;1;5.4488
1;1;1;0.9035
1;1;1;5.9526
1;1;1;14.7579
1;1;1;5.6712
1;1;1;6.5594
1;1;1;5.5919
1;1;1;4.6170
1;1;1;8.4754
1;1;1;5.1573
1;1;1;2.7557
1;1;1;14.4342
1;1;1;1.1354
1;1;2;9.8174
1;1;2;11.2723
1;1;2;16.2632
1;1;2;10.8560
1;1;2;2.9555
1;1;2;10.8376
1;1;2;10.2764
1;1;2;17.5867
1;1;2;11.8872
1;1;2;8.2875
1;1;2;11.4272
1;1;2;19.1411
1;1;2;3.3971
1;1;2;15.9500
1;1;2;16.3856
1;1;2;4.8548
1;1;2;2.9549
1;1;2;4.5417
1;1;2;2.4961
1;1;2;11.3578
1;1;2;2.9700
1;1;2;3.1321
1;1;2;5.4901
1;1;2;2.5135
1;1;2;4.6948
1;1;2;1.8927
1;1;2;6.3060
1;1;2;10.7254
1;1;2;3.3917
1;1;2;4.1426
1;1;2;8.8788
1;1;2;6.8104
1;1;2;2.2214
1;1;2;6.8879
1;1;2;16.1195
1;1;2;6.9064
1;1;2;7.4675
1;1;2;3.7351
1;1;2;5.9451
1;1;2;9.4565
1;1;2;6.3167
1;1;2;1.9349
1;1;2;15.4285
1;1;2;1.9634
1;1;2;1.9969
1;1;2;8.4597
1;1;2;8.0779
1;1;2;11.9858
1;1;2;6.1899
1;1;2;7.0327
1;1;2;7.5471
1;1;2;5.7594
1;1;2;11.7801
1;1;2;8.3732
1;1;2;3.7034
1;1;2;6.6211
1;1;2;13.7590
1;1;2;3.6944
1;1;2;10.8918
1;1;2;11.6139
1;1;2;8.1515
1;1;2;10.2208
1;1;2;15.3523
1;1;2;10.1423
1;1;2;1.0929
1;1;2;10.1239
1;1;2;9.5627
1;1;2;16.8730
1;1;2;11.0852
1;1;2;7.6068
1;1;2;10.7136
1;1;2;18.4127
1;1;2;5.2365
1;1;2;15.2230
1;1;2;15.6686
1;1;2;1.7021
1;1;2;3.3373
1;1;2;8.4626
1;1;2;3.2709
1;1;2;6.5130
1;1;2;3.2324
1;1;2;3.2678
1;1;2;10.1732
1;1;2;4.1936
1;1;2;4.5236
1;1;2;3.8220
1;1;2;11.5212
1;1;2;9.2204
1;1;2;8.3352
1;1;2;8.7771
1;1;2;5.6979
1;1;2;7.7763
1;1;2;12.8991
1;1;2;7.6888
1;1;2;3.3530
1;1;2;7.6704
1;1;2;7.1092
1;1;2;14.6510
1;1;2;8.6317
1;1;2;6.4266
1;1;2;8.2600
1;1;2;15.9592
1;1;2;7.7032
1;1;2;12.7743
1;1;2;13.2151
1;1;2;6.1868
1;1;2;8.2437
1;1;2;13.3836
1;1;2;8.1529
1;1;2;1.9274
1;1;2;8.1345
1;1;2;7.5733
1;1;2;14.8836
1;1;2;9.0958
1;1;2;6.0238
1;1;2;8.7242
1;1;2;16.4233
1;1;2;6.2350
1;1;2;13.2416
1;1;2;13.6792
1;1;2;4.5542
1;1;2;2.5773
1;1;2;2.6682
1;1;2;4.2065
1;1;2;11.7820
1;1;2;3.5074
1;1;2;4.7276
1;1;2;7.3847
1;1;2;2.0719
1;1;2;6.7500
